/home/shenshiyu/SmartTrafficFramework/dataloader.py:130: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  self.indices = torch.tensor(self.indices.clone().detach(),dtype=torch.int64)
Train epoch     60/100   |  Loss: 0.12713233  |  Acc: 72.39%   |  Acc_inner: 95.93%   |  LR: 0.00034549  | Load data time: 0.34...m  |  Preprocess data time: 0.10   m  |  Forward time: 0.47   m  |  Backward time: 1.02   m  |  Total time: 1.92   m
Train epoch     61/100   |  Loss: 0.13833311  |  Acc: 71.77%   |  Acc_inner: 95.11%   |  LR: 0.00033063  | Load data time: 0.34...m  |  Preprocess data time: 0.09   m  |  Forward time: 0.46   m  |  Backward time: 0.94   m  |  Total time: 1.83   m
Train epoch     62/100   |  Loss: 0.12767455  |  Acc: 72.03%   |  Acc_inner: 95.45%   |  LR: 0.00031594  | Load data time: 0.33...m  |  Preprocess data time: 0.09   m  |  Forward time: 0.46   m  |  Backward time: 0.94   m  |  Total time: 1.82   m
Train epoch     63/100   |  Loss: 0.13309193  |  Acc: 72.03%   |  Acc_inner: 95.45%   |  LR: 0.00030143  | Load data time: 0.33...m  |  Preprocess data time: 0.09   m  |  Forward time: 0.45   m  |  Backward time: 1.02   m  |  Total time: 1.89   m
Train epoch     64/100   |  Loss: 0.11858322  |  Acc: 72.28%   |  Acc_inner: 95.79%   |  LR: 0.00028711  | Load data time: 0.34...m  |  Preprocess data time: 0.09   m  |  Forward time: 0.47   m  |  Backward time: 1.00   m  |  Total time: 1.91   m
Train epoch     65/100   |  Loss: 0.13482930  |  Acc: 72.18%   |  Acc_inner: 95.66%   |  LR: 0.00027300  | Load data time: 0.33...m  |  Preprocess data time: 0.09   m  |  Forward time: 0.45   m  |  Backward time: 0.89   m  |  Total time: 1.76   m
Train epoch     66/100   |  Loss: 0.11765165  |  Acc: 72.23%   |  Acc_inner: 95.72%   |  LR: 0.00025912  | Load data time: 0.33...m  |  Preprocess data time: 0.09   m  |  Forward time: 0.46   m  |  Backward time: 0.92   m  |  Total time: 1.80   m
Train epoch     67/100   |  Loss: 0.12224271  |  Acc: 72.23%   |  Acc_inner: 95.72%   |  LR: 0.00024548  | Load data time: 0.33...m  |  Preprocess data time: 0.09   m  |  Forward time: 0.46   m  |  Backward time: 1.04   m  |  Total time: 1.93   m
Train epoch     68/100   |  Loss: 0.11859534  |  Acc: 72.18%   |  Acc_inner: 95.66%   |  LR: 0.00023209  | Load data time: 0.34...m  |  Preprocess data time: 0.10   m  |  Forward time: 0.48   m  |  Backward time: 1.04   m  |  Total time: 1.95   m
Train epoch     69/100   |  Loss: 0.12308972  |  Acc: 72.03%   |  Acc_inner: 95.45%   |  LR: 0.00021896  | Load data time: 0.36...m  |  Preprocess data time: 0.10   m  |  Forward time: 0.48   m  |  Backward time: 1.09   m  |  Total time: 2.03   m
Train epoch     70/100   |  Loss: 0.14628135  |  Acc: 71.87%   |  Acc_inner: 95.25%   |  LR: 0.00020611  | Load data time: 0.35...m  |  Preprocess data time: 0.10   m  |  Forward time: 0.49   m  |  Backward time: 0.97   m  |  Total time: 1.91   m
Train epoch     71/100   |  Loss: 0.12850976  |  Acc: 72.34%   |  Acc_inner: 95.86%   |  LR: 0.00019355  | Load data time: 0.32...m  |  Preprocess data time: 0.09   m  |  Forward time: 0.44   m  |  Backward time: 0.95   m  |  Total time: 1.82   m
Train epoch     72/100   |  Loss: 0.11152236  |  Acc: 72.64%   |  Acc_inner: 96.27%   |  LR: 0.00018129  | Load data time: 0.34...m  |  Preprocess data time: 0.09   m  |  Forward time: 0.47   m  |  Backward time: 1.02   m  |  Total time: 1.92   m
Train epoch     73/100   |  Loss: 0.11923353  |  Acc: 72.18%   |  Acc_inner: 95.66%   |  LR: 0.00016934  | Load data time: 0.35...m  |  Preprocess data time: 0.10   m  |  Forward time: 0.48   m  |  Backward time: 1.02   m  |  Total time: 1.94   m
Train epoch     74/100   |  Loss: 0.11306228  |  Acc: 73.00%   |  Acc_inner: 96.74%   |  LR: 0.00015773  | Load data time: 0.32...m  |  Preprocess data time: 0.09   m  |  Forward time: 0.45   m  |  Backward time: 0.84   m  |  Total time: 1.70   m
Train epoch     75/100   |  Loss: 0.11308436  |  Acc: 72.69%   |  Acc_inner: 96.33%   |  LR: 0.00014645  | Load data time: 0.34...m  |  Preprocess data time: 0.09   m  |  Forward time: 0.46   m  |  Backward time: 1.06   m  |  Total time: 1.95   m
Train epoch     76/100   |  Loss: 0.11835065  |  Acc: 72.69%   |  Acc_inner: 96.33%   |  LR: 0.00013552  | Load data time: 0.33...m  |  Preprocess data time: 0.09   m  |  Forward time: 0.47   m  |  Backward time: 0.92   m  |  Total time: 1.81   m
Train epoch     77/100   |  Loss: 0.11605063  |  Acc: 72.18%   |  Acc_inner: 95.66%   |  LR: 0.00012494  | Load data time: 0.32...m  |  Preprocess data time: 0.09   m  |  Forward time: 0.45   m  |  Backward time: 0.83   m  |  Total time: 1.68   m
Train epoch     78/100   |  Loss: 0.12134177  |  Acc: 72.34%   |  Acc_inner: 95.86%   |  LR: 0.00011474  | Load data time: 0.31...m  |  Preprocess data time: 0.09   m  |  Forward time: 0.43   m  |  Backward time: 0.85   m  |  Total time: 1.68   m
Train epoch     79/100   |  Loss: 0.10366299  |  Acc: 72.64%   |  Acc_inner: 96.27%   |  LR: 0.00010492  | Load data time: 0.33...m  |  Preprocess data time: 0.09   m  |  Forward time: 0.46   m  |  Backward time: 0.95   m  |  Total time: 1.83   m
Train epoch     80/100   |  Loss: 0.10633264  |  Acc: 73.00%   |  Acc_inner: 96.74%   |  LR: 0.00009549  | Load data time: 0.36...m  |  Preprocess data time: 0.10   m  |  Forward time: 0.47   m  |  Backward time: 1.05   m  |  Total time: 1.97   m
Train epoch     81/100   |  Loss: 0.10265015  |  Acc: 72.95%   |  Acc_inner: 96.67%   |  LR: 0.00008646  | Load data time: 0.33...m  |  Preprocess data time: 0.09   m  |  Forward time: 0.46   m  |  Backward time: 0.93   m  |  Total time: 1.81   m
Train epoch     82/100   |  Loss: 0.11483052  |  Acc: 72.03%   |  Acc_inner: 95.45%   |  LR: 0.00007784  | Load data time: 0.33...m  |  Preprocess data time: 0.09   m  |  Forward time: 0.46   m  |  Backward time: 1.06   m  |  Total time: 1.94   m
Train epoch     83/100   |  Loss: 0.10465837  |  Acc: 72.90%   |  Acc_inner: 96.61%   |  LR: 0.00006963  | Load data time: 0.34...m  |  Preprocess data time: 0.10   m  |  Forward time: 0.47   m  |  Backward time: 1.05   m  |  Total time: 1.95   m
Train epoch     84/100   |  Loss: 0.09769692  |  Acc: 73.00%   |  Acc_inner: 96.74%   |  LR: 0.00006185  | Load data time: 0.31...m  |  Preprocess data time: 0.09   m  |  Forward time: 0.44   m  |  Backward time: 0.81   m  |  Total time: 1.65   m
Train epoch     85/100   |  Loss: 0.10335429  |  Acc: 72.59%   |  Acc_inner: 96.20%   |  LR: 0.00005450  | Load data time: 0.33...m  |  Preprocess data time: 0.09   m  |  Forward time: 0.46   m  |  Backward time: 0.99   m  |  Total time: 1.87   m
