Epoch 0

Step: 39      |  Loss: 1.84086442  |  LR 0.0009990133642141358  |  Data Time: 0.00   m  |  Preprocess Time: 0.00   m  |  Act Time: 0.05   m  |  Replay Time: 0.01   m  |  Total Time: 0.06   m
Epoch: 2       |  Time: 12.70  m  |  Loss 1.8228469803929328

Epoch 3

Step: 0       |  Loss: 1.78190255  |  LR 0.00099778098230154  |  Data Time: 2.39   m  |  Preprocess Time: 0.00   m  |  Act Time: 0.14   m  |  Replay Time: 0.01   m  |  Total Time: 2.55   m
Step: 1       |  Loss: 1.78352320  |  LR 0.00099778098230154  |  Data Time: 0.00   m  |  Preprocess Time: 0.00   m  |  Act Time: 0.14   m  |  Replay Time: 0.01   m  |  Total Time: 0.16   m
Step: 2       |  Loss: 1.78424883  |  LR 0.00099778098230154  |  Data Time: 0.00   m  |  Preprocess Time: 0.00   m  |  Act Time: 0.14   m  |  Replay Time: 0.01   m  |  Total Time: 0.16   m
Step: 3       |  Loss: 1.81935310  |  LR 0.00099778098230154  |  Data Time: 0.00   m  |  Preprocess Time: 0.00   m  |  Act Time: 0.14   m  |  Replay Time: 0.01   m  |  Total Time: 0.15   m
Step: 4       |  Loss: 1.76148188  |  LR 0.00099778098230154  |  Data Time: 0.00   m  |  Preprocess Time: 0.00   m  |  Act Time: 0.14   m  |  Replay Time: 0.01   m  |  Total Time: 0.15   m
Step: 5       |  Loss: 1.79885435  |  LR 0.00099778098230154  |  Data Time: 0.00   m  |  Preprocess Time: 0.00   m  |  Act Time: 0.14   m  |  Replay Time: 0.01   m  |  Total Time: 0.15   m
Step: 6       |  Loss: 1.80254817  |  LR 0.00099778098230154  |  Data Time: 0.00   m  |  Preprocess Time: 0.00   m  |  Act Time: 0.14   m  |  Replay Time: 0.01   m  |  Total Time: 0.15   m
Step: 7       |  Loss: 1.76617479  |  LR 0.00099778098230154  |  Data Time: 0.00   m  |  Preprocess Time: 0.00   m  |  Act Time: 0.14   m  |  Replay Time: 0.01   m  |  Total Time: 0.15   m
Step: 8       |  Loss: 1.79969788  |  LR 0.00099778098230154  |  Data Time: 1.16   m  |  Preprocess Time: 0.00   m  |  Act Time: 0.14   m  |  Replay Time: 0.01   m  |  Total Time: 1.31   m
Step: 9       |  Loss: 1.81842279  |  LR 0.00099778098230154  |  Data Time: 0.00   m  |  Preprocess Time: 0.00   m  |  Act Time: 0.14   m  |  Replay Time: 0.01   m  |  Total Time: 0.15   m
